Biomarker,Document IDs,Activity Context Summary,Effect Summary,Sport Implications,Relevance for Sports (1–10),Biomarker Groups,Occurrences in Dataset
C-C Chemokine Ligand 4,"36102943, 38999962",No athlete or exercise context reported.,"In critically ill COVID-19 patients, blood plasma/serum CCL4 protein levels were elevated in subphenotype-3 (characterized by exaggerated inflammation), significantly higher in seropositive patients, and significantly lower in non-survivors compared to survivors. In women with unexplained euploid embryo transfer failure and suspected endometriosis, whole blood CCL4 gene (mRNA) expression increased after elagolix treatment.","The provided findings do not involve athletes, exercise interventions, or training states. Therefore, they do not directly offer insights into how C-C Chemokine Ligand 4 (CCL4) may help understand training stress, adaptation, performance, or recovery in an athletic population. The observed changes are in the context of severe illness (COVID-19) and reproductive health conditions.",1,inflammatory_changes,2
C-C Chemokine Ligand 5,"31382623, 32733487","No athlete or exercise context reported. The studies involve an in vitro osteoarthritic knee joint explant co-culture model stimulated with IL-1β and treated with hyperacute serum, and a review on immune dysregulation in COVID-19 patients with comorbidities, examining the effects of a nutritional supplement (Aureobasidium pullulans strain AFO-202 beta 1,3-1,6 glucan).","In an in vitro osteoarthritic knee joint model, CCL-5 concentration increased further in response to hyperacute serum treatment following IL-1β stimulation. In the context of severe COVID-19, higher systemic CCL-5 protein levels were observed, which were attributed to causing acute respiratory distress syndrome (ARDS) leading to pulmonary fibrosis and death.","These findings do not provide direct athletic context or involve athletic populations, training interventions, or performance outcomes. Therefore, they do not directly support an athletic interpretation regarding training stress, adaptation, performance, or recovery within the domains of exercise physiology or sports medicine. While CCL-5 is an inflammatory chemokine, its observed roles in an in vitro osteoarthritis model and severe COVID-19 do not offer specific, actionable insights for athlete monitoring or intervention based on the provided data.",1,inflammatory_changes,2
C-C Chemokine Ligand 7,32733487,"No athlete or exercise context reported. The study investigates immune dysregulation in COVID-19 patients with comorbidities and the effects of nutritional supplementation (Aureobasidium pullulans strain AFO-202 beta 1,3-1,6 glucan) in this clinical population.","In the context of COVID-19, continuous high serum protein levels of CCL7 were observed. These elevated levels were associated with increased viral load, loss of lung function, lung injury, and a fatal outcome.","The provided findings are exclusively derived from a clinical population of COVID-19 patients and lack any athletic or exercise context. Therefore, direct implications for understanding training stress, adaptation, performance, or recovery in athletes cannot be drawn from this specific information. We cannot speculate on the role or significance of CCL7 in response to exercise, training load, or athletic recovery based solely on these non-athletic findings.",1,inflammatory_changes,1
C-C Chemokine Ligand 8,38999962,"No athlete or exercise context reported. The study investigated inflammatory, epigenetic, and molecular changes in women with unexplained euploid embryo transfer failure (UEETF) and suspected endometriosis undergoing medical suppression (GnRH agonist, elagolix, OCPs).",C-C Chemokine Ligand 8 (CCL8) mRNA expression in whole blood was observed to increase following elagolix treatment in women with unexplained euploid embryo transfer failure and suspected endometriosis.,"The provided findings are derived from a clinical study investigating inflammatory changes in women with specific reproductive health conditions undergoing medical treatment. There is no athletic population, exercise intervention, or performance-related context described. Therefore, these findings do not support an athletic interpretation regarding training stress, adaptation, performance, or recovery in athletes.",1,inflammatory_changes,1
C-C Chemokine Receptor Type 2,39021565,"No athlete or exercise context reported. The document describes the protocol for an observational study (COMMIT) investigating the impact of comorbidities and risk factors on clinical and paraclinical parameters in patients with Multiple Sclerosis (MS), Neuromyelitis Optica Spectrum Disorder (NMOSD), and Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease (MOGAD). The study aims to analyze inflammation and neurodegeneration markers over a 3-year period.","No measured effects are reported in the provided document, as it is a study protocol outlining future investigations rather than presenting results.","The provided document details a study protocol focused on neuroinflammatory conditions and does not involve athletes, exercise, or report any measurable effects related to training, recovery, or performance. Therefore, these specific findings do not directly support an athletic interpretation. While C-C Chemokine Receptor Type 2 (CCR2) is functionally involved in immune cell trafficking to sites of inflammation, which is relevant to exercise-induced muscle damage and recovery, the current data provides no context or findings within a sports-science framework.",2,inflammatory_changes,1
C-C Motif Chemokine Ligand 16,34329401,No athlete or exercise context reported. This was an observational study investigating sex differences in circulating blood biomarkers in patients with paroxysmal Atrial Fibrillation (AF).,"C-C motif chemokine-16 (CCL-16) protein levels in blood were reported as higher in men in the discovery cohort, but this finding was not confirmed in the independent validation cohort.","The findings are derived from an observational study in a clinical population (patients with paroxysmal Atrial Fibrillation) and lack any athletic or exercise context. Therefore, these specific findings do not support an athletic interpretation regarding training stress, adaptation, performance, or recovery.",1,inflammatory_changes,1
C-Peptide,40710348,"No athlete or exercise context reported. The study is an observational investigation in children newly diagnosed with Type 1 Diabetes (T1D), assessing biomarkers related to endothelial dysfunction and residual insulin secretion. While general physical activity is mentioned as a T1D management strategy, it is not an intervention or specific training context within the study's direct findings.","Lower fasting and 2-hour meal-stimulated C-peptide levels are observed in children with newly diagnosed Type 1 Diabetes, indicating reduced residual beta-cell function. These lower levels are associated with worse clinical conditions, higher Endothelial Progenitor Cell (EPC) mobilization, and potentially adverse effects on the endothelium. Conversely, C-peptide levels within the normal range (1.1–4.4 ng/mL) are linked to better clinical indicators and lower EPC/Circulating Endothelial Cell (CEC) ratios.","The findings are derived from an observational study in children with newly diagnosed Type 1 Diabetes and do not provide direct insights into training stress, adaptation, performance, or recovery in healthy athletes. Therefore, these specific findings do not support an athletic interpretation.",1,"metabolic, glycemic, endocrine_response",1
C-Reactive Protein,"19416992, 34548368, 33122776, 35449856, 39595661, 34797867, 38066442, 28542490, 37717560, 24066805, 24864189, 26604728, 27895542, 28285432, 28737585, 29614689, 30412626, 32570815, 32681124, 32733487, 34253106, 35599912, 35674828, 35886433, 36498228, 37204619, 38062075, 38313435, 39369140, 39390047, 39517758, 39596269, 39808679, 39948173, 40146037, 40168324, 40231445, 40320887, 40839339, 41010491, 33057385, 32872427, 32472653, 36498185, 37327673, 41010901, 41228417, 38708778, 29580264, 31804541, 34248970, 36901868, 41082530, 34652292, 30848096","In an athletic context, C-Reactive Protein (CRP) has been investigated in various populations and training scenarios:

*   **Professional/Elite Athletes:** Professional male soccer players undergoing pre-season training, specific physical fitness testing (sprint, CMJ), and consecutive matches. Adolescent athletes (primarily soccer players) engaged in intense physical activity and competitive training. High-level kayakers undergoing specialized physical training with whole-body cryotherapy. Highly-trained Water Polo players after a fatiguing simulated game, with tart cherry juice supplementation. Soccer players undergoing a Loughborough Intermittent Shuttle Test (LIST), with bovine colostrum or whey protein supplementation. Endurance athletes (trained men) performing strenuous endurance running field tests. Young professional long-distance and sprint swimmers during a preparatory training period. Trained male CrossFit® athletes following a structured high-intensity training program, with Tribulus terrestris supplementation. Elite sports (review context) monitoring training load, recovery, and health across various exercise modalities (strenuous, resistance, high-intensity, submaximal, acute physical stress, soccer matches, ultradistance races, long-term intensive endurance exercise). Male ultramarathon runners after a 160 km ultramarathon. Highly trained male distance runners during an altitude training camp with structured exercise challenges (downhill running, 3000m time trials), with Urolithin A supplementation. Resistance-trained men performing acute evening resistance exercise, with pre-sleep casein protein supplementation. Trained male participants undergoing progressive high-intensity resistance training, with Cistanche deserticola extract supplementation.

*   **Recreational/Untrained Athletes:** Healthy, average-trained men performing repeated bouts of exhaustive treadmill exercise. Recreational male runners competing in a half-marathon, followed by various recovery strategies (active recovery, cold water immersion, massage, passive recovery). Healthy male amateur team sports players performing a 5-m Shuttle Run Test. Untrained male participants undergoing progressive high-intensity resistance training, with Cistanche deserticola extract supplementation. Middle-aged amateur long-distance runners engaged in regular endurance training and incremental treadmill running tests, with curcumin supplementation. Recreationally trained women performing fixed-intensity and sprint cycling, with N-acetylcysteine (NAC) supplementation (considering oral contraceptive use). Young male soccer players undergoing a brief but intense pre-seasonal soccer training period and physical evaluations. Physically active older adults participating in walking exercise combined with protein supplementation.

No athlete or exercise context reported in studies related to lower respiratory tract infections, COVID-19 diagnosis/treatment/severity/recovery, cardiac rehabilitation in patients with Coronary Artery Disease, deconditioning from head-down bed rest, Huntington's Disease, thermal therapy in COPD patients, sexual violence victimization, dietary protein intake in hemodialysis patients, occupational heat exposure/manual labor (sugarcane workers), oxi-inflammatory responses in older adults, sepsis, acute hypoxemic respiratory failure, ST-elevation myocardial infarction, Alzheimer's Disease/MCI, Amyotrophic Lateral Sclerosis (ALS), osteoarthritis, critical care survivors (ICU delirium), rheumatoid arthritis, mesenchymal stromal cell therapy, and diabetic kidney disease.","CRP levels generally increase following acute bouts of intense or exhaustive exercise, such as pre-season soccer training, exhaustive treadmill exercise, half-marathons, 5-m Shuttle Run Tests, ultradistance races, and resistance training, indicating an acute inflammatory response and muscle damage. This increase is often delayed, peaking around 24 hours post-exercise. Chronic exhaustive resistance training can lead to increased resting CRP levels.

CRP levels can correlate with athletic performance: a moderate negative correlation with 5-meter sprint split times and a positive large correlation with Countermovement Jump (CMJ-free hands) performance have been observed in soccer players. In young male soccer players, higher CRP was positively associated with VO2 max values, while lower levels were negatively associated with the Repeated Sprint Ability (RSA) index. The reliability of CRP as an exercise response marker is higher in trained individuals.

Several interventions showed varied effects:
*   **Reduced/Lowered/Attenuated:** Bovine colostrum supplementation led to faster recovery kinetics and lower CRP levels at 72 hours post-Loughborough Intermittent Shuttle Test. Tribulus terrestris supplementation attenuated the exercise-induced increase in CrossFit athletes compared to a placebo group. Curcumin supplementation resulted in a lower increase in resting and post-exercise/recovery CRP compared to placebo in long-distance runners. Cistanche deserticola supplementation significantly reduced CRP in both untrained and resistance-trained individuals undergoing progressive resistance training. Post-exercise branched-chain amino acid (BCAA) supplementation significantly reduced CRP at 24 hours post-resistance training compared to pre-exercise BCAA or placebo.
*   **Unchanged/No Significant Effect:** Tart cherry juice supplementation had no significant impact on post-exercise CRP levels in Water Polo players. Pre-sleep casein protein supplementation did not significantly affect next-morning CRP after acute evening resistance exercise. Whole-body cryotherapy did not change CRP in a study on rugby players. Urolithin A supplementation did not significantly change CRP in highly trained distance runners during altitude training. A 12-week protein supplementation combined with walking exercise in older adults showed no significant change in CRP. Various acute post-half-marathon recovery strategies (active, cold water immersion, massage, passive) also did not significantly affect CRP levels.

Resting CRP levels were found to be significantly higher in recreationally trained women using oral contraceptives compared to naturally cycling women.

In non-athletic contexts, CRP is noted to increase in various inflammatory and disease states (e.g., COVID-19, rheumatoid arthritis, sepsis, osteoarthritis), decrease with certain immunomodulatory therapies (e.g., mesenchymal stromal cell therapy), and can be associated with patient outcomes or disease severity. It was unchanged in contexts like cardiac rehabilitation, thermal therapy in COPD, and sexual violence victimization. It was used as an exclusion criterion for studies with systemic inflammation.","CRP is a highly relevant biomarker for monitoring the physiological impact of training and competition in athletes, providing critical insights into training stress, recovery, adaptation, and muscle damage.

*   **Training Load and Stress:** Strenuous exercise, such as pre-season soccer training, exhaustive treadmill bouts, half-marathons, 5-m Shuttle Run Tests, and ultramarathons, consistently induces significant increases in CRP. These increases indicate an acute systemic inflammatory response and are proportional to the intensity and duration of the exercise. CRP's delayed kinetics, often peaking around 24 hours post-exercise, highlight its utility in assessing the full extent of exercise-induced inflammation, which may not be apparent immediately after exertion. Chronic exhaustive resistance training can lead to elevated resting CRP levels, signaling a persistent inflammatory state and potential overreaching.

*   **Recovery and Adaptation:** Monitoring CRP is crucial for evaluating recovery status. A return to baseline or significantly lower levels within 48-72 hours post-exercise (e.g., after a 5mSRT) suggests effective recovery from the inflammatory cascade. Conversely, continually elevated or increasing CRP, especially after consecutive competitions or during periods of congested fixtures, indicates inadequate recovery, accumulated physiological stress, and unresolved inflammation. This state can predispose athletes to overtraining syndrome, increased injury risk, or impaired adaptation.

*   **Performance Diagnostics:** CRP levels can correlate with specific performance outcomes. For instance, lower CRP was associated with better initial sprint acceleration, while higher levels correlated positively with Countermovement Jump performance in professional soccer players. In young soccer players, higher CRP was linked to better aerobic capacity (VO2 max), but lower CRP predicted superior Repeated Sprint Ability. These findings suggest that CRP, when interpreted alongside other metrics, can contribute to a nuanced understanding of an athlete's physical capabilities and readiness. The reliability of CRP as an exercise response marker is better in trained individuals, emphasizing the importance of individualized baseline values.

*   **Muscle Damage:** As an acute-phase protein, CRP is a sensitive indicator of exercise-induced muscle damage, reflecting the tissue trauma and subsequent inflammatory repair processes. Its elevation is mediated by cytokines like IL-6, which are released in response to cellular injury.

*   **Intervention Effects:** Nutritional strategies such as bovine colostrum and Cistanche deserticola supplementation have been shown to significantly attenuate exercise-induced CRP increases or accelerate its recovery, suggesting a benefit in mitigating inflammation and potentially enhancing recovery. Curcumin supplementation also demonstrated an attenuated exercise-induced CRP increase. However, other interventions like tart cherry juice, pre-sleep casein protein, whole-body cryotherapy, and Urolithin A did not consistently show significant effects on CRP levels in some athletic contexts, implying that their anti-inflammatory benefits on this specific marker might be context-dependent or modest.

*   **Confounding Factors:** External factors, such as oral contraceptive use in recreationally trained women, can lead to elevated baseline CRP levels, which necessitates careful interpretation of exercise-induced changes in these individuals.

*   **Non-athletic Context:** Studies conducted on disease populations (e.g., COVID-19, cardiac patients, neurological conditions, inflammatory diseases) or in occupational settings involving physical labor consistently highlight CRP's role as a general inflammatory marker. While these demonstrate its physiological function, they do not provide direct implications for optimizing athletic training, performance, or recovery.",9,"inflammatory_changes, muscle_damage",55
C-Reactive Protein (CRP),30509185,"No athlete or exercise context reported. The study involved patients with cardiac arrhythmias, cardiovascular disorders, and metabolic syndrome components undergoing a 6-week dietary intervention with a specific micronutrient combination as an add-on to concomitant cardiovascular drug treatment.","Serum C-Reactive Protein (CRP) levels were reduced after a 6-week dietary supplementation with a specific micronutrient combination (including magnesium, potassium, B vitamins, and Coenzyme Q10) in patients with cardiometabolic disorders. Conversely, CRP levels were observed to be elevated in the placebo group. Administration of Coenzyme Q10 specifically also led to reduced high-sensitivity CRP (h-CrP). Baseline CRP was low-grade elevated in a subset of patients prior to intervention.","The study population consists of individuals with cardiovascular and metabolic health issues, not athletes. Therefore, these findings do not directly support an athletic interpretation regarding training stress, adaptation, performance, or recovery. While CRP is a recognized acute-phase protein and a biomarker of systemic inflammation that can be used in athletic populations to monitor training load, recovery status, and potential overreaching/overtraining, the present study's context and intervention are not sport-specific and do not provide insights into exercise physiology or athletic performance.",3,"inflammatory_changes, cardio_risk",1
C-Reactive Protein to HDL Ratio,39596269,"No athlete or exercise context reported. This observational, cross-sectional study investigated sex-specific differences in oxi-inflammatory responses and cardiovascular health in older adults (aged 72.2 ± 7.8 years), comprising 145 women and 50 men. No intervention, training, or specific activity type was assessed; the focus was on physiological, hematological, lipid, and inflammatory markers.","The C-reactive protein to HDL ratio (CHR) is a composite biomarker reflecting systemic inflammation (CRP) and lipid status (HDL). In older adults, CHR was found to be lower in women (0.031 ± 0.028) compared to men (0.052 ± 0.052). This ratio demonstrated very high diagnostic utility (AUC = 0.980) for predicting endothelial dysfunction and cardiovascular disease risk, including atherosclerosis, coronary events, stroke, and heart disease.","This study's findings are derived from an older, non-athletic population and are focused on cardiovascular disease risk prediction. There is no information provided regarding athlete populations, training loads, recovery protocols, performance outcomes, or physiological adaptations to exercise. Therefore, these findings do not directly support an athletic interpretation and cannot be used to understand training stress, adaptation, performance, or recovery in an athletic context.",1,"inflammatory_changes, metabolic, cardio_risk",1
C-Terminal Agrin Fragment,40464208,"The study involved healthy older men undergoing both acute and long-term (16 weeks, 3 sessions/week) progressive heavy resistance exercise. The intervention also included angiotensin II type I receptor blocker (losartan) supplementation, either alone or in combination with exercise. Training loads for long-term exercise progressed from 67% to 86% of 1RM.","Serum C-terminal agrin fragment (CAF) levels acutely decreased by 8% (group average) one day following a single bout of heavy resistance exercise, returning to baseline by Day 4. In contrast, 16 weeks of progressive heavy resistance exercise alone did not significantly affect CAF levels. Losartan supplementation, whether with or without exercise, led to an increase in CAF levels, rising by 4%-7% at 8 weeks and 7%-9% at 16 weeks. Baseline CAF showed weak correlations with age and leg lean mass. Individual responses varied widely.","CAF may offer insights into acute neuromuscular adaptation and recovery. The acute reduction in CAF following a single exercise bout suggests a temporary strengthening or reorganization of the neuromuscular junctions (NMJ), which is a key component of neuromuscular adaptation to training stress. This finding highlights CAF's potential as an acute marker reflecting the immediate response of the NMJ to exercise. Its utility for monitoring long-term training adaptation appears limited based on the finding that 16 weeks of exercise alone did not change levels. However, its weak correlations with leg lean mass and suggested involvement in muscle adaptation/hypertrophy in response to long-term training (when considering medication interaction) warrant further investigation in an athletic context. The interaction with losartan, and its potential impact on kidney function influencing CAF levels, underscores the importance of considering medication status when interpreting CAF in athletes. Standardization of blood sampling timing relative to exercise is crucial for accurate interpretation of acute changes.",6,"cell_damage, muscle_damage",1
C-Terminal Propeptide of Procollagen Type I,30714667,"No athlete or exercise context reported. The findings describe C-terminal propeptide of procollagen type I (CITP) in the context of heart failure patients with myocardial fibrosis, examining its role as an indicator of collagen production and anti-fibrotic therapeutic strategies.","Systemic circulation levels of C-terminal propeptide of procollagen type I (CITP) are correlated with local cardiac tissue fibrosis volumes, indicating collagen production and the buildup of myocardial fibrosis in heart failure patients.","The provided findings do not offer an athletic or exercise context. CITP is described as a biomarker for assessing myocardial fibrosis severity and collagen buildup in heart failure patients. Therefore, there is no direct information to infer its utility in understanding training stress, adaptation, performance, or recovery in healthy athletes.",1,"cell_damage, muscle_damage, cardio_risk",1
C-Terminal Telopeptide of Type I Collagen,"40565560, 31791333, 40217244, 40362542","No athlete or exercise context reported. The studies involve: children with Noonan Syndrome, women at risk of vitamin D deficiency receiving food-based vitamin D fortification, patients with medication-related osteonecrosis of the jaw (MRONJ) treated with teriparatide, and children with Acute Lymphoblastic Leukemia (ALL) undergoing chemotherapy.","C-Terminal Telopeptide of Type I Collagen (CTX) levels showed varied responses: 
- Significantly higher in children with Noonan Syndrome compared to healthy controls. 
- Unchanged after a 12-week food-based vitamin D3 fortification intervention in women. 
- Significantly increased in patients with MRONJ post-treatment, with greater increases observed in those receiving teriparatide. 
- Initially significantly lower in children with ALL at diagnosis compared to controls, then significantly increased during chemotherapy (particularly induction phase), followed by a slight decrease towards the end of therapy.","These findings do not directly support an athletic interpretation as none of the studies involved athletes, exercise interventions, or training contexts. Therefore, we cannot draw direct conclusions about how C-Terminal Telopeptide of Type I Collagen (CTX) relates to training stress, adaptation, performance, or recovery in athletes from this data. However, as a marker of bone resorption and turnover, CTX would generally be relevant in a sports context for monitoring bone health, adaptation to training load, and potential risk of stress fractures, which are common in athletic populations. Changes in CTX could indicate the balance between bone formation and resorption in response to mechanical loading and recovery, which is crucial for maintaining bone integrity and preventing overuse injuries in athletes. Nonetheless, this specific dataset lacks the necessary athletic context to provide concrete implications.",2,cell_damage,4
"C-Type Lectin Domain Family 2, Member D",29617451,No athlete or exercise context reported.,"Gene expression of C-type Lectin Domain Family 2, Member D (CLEC2D) was observed to be downregulated in peripheral blood mononuclear cells (PBMCs) from pancreatic ductal adenocarcinoma (PDAC) patients compared to healthy controls.","The findings presented pertain to CLEC2D as a diagnostic biomarker for pancreatic ductal adenocarcinoma in a clinical population. The study does not provide any information regarding CLEC2D's role in the context of athletic training stress, recovery, adaptation, performance, or inflammation in athletes. Therefore, these findings do not support an athletic interpretation.",1,inflammatory_changes,1
C-X-C Motif Chemokine Ligand 1,36403906,Plasma samples were collected from collegiate athletes within 48 hours following a Sport-related Concussion (SRC). The study focused on identifying novel diagnostic biomarkers for SRC.,Plasma levels of C-X-C Motif Chemokine Ligand 1 were found to be significantly lower in collegiate athletes after Sport-related Concussion (SRC) compared to non-concussed athletes.,"C-X-C Motif Chemokine Ligand 1 is identified as a potential diagnostic biomarker for Sport-related Concussion (SRC) in collegiate athletes. While SRC profoundly impacts an athlete's ability to train, perform, and requires a structured recovery and return-to-play process, the primary implication of this finding is in the acute identification of the injury itself. It does not directly provide insights into training load monitoring, exercise adaptation, or general recovery from typical training stressors, but rather flags a specific injury state that necessitates cessation of training and performance.",8,inflammatory_changes,1
C-X-C Motif Chemokine Ligand 6,36403906,"The study involved collegiate athletes and focused on identifying novel diagnostic plasma biomarkers for sport-related concussion (SRC). Blood samples were collected from concussed and non-concussed athletes within 48 hours post-injury, analyzed in acute (0-6 hours) and subacute (7-48 hours) phases.",Plasma levels of C-X-C motif chemokine ligand 6 were significantly lower after sport-related concussion (SRC) in collegiate athletes compared to controls.,"C-X-C motif chemokine ligand 6 (CXCL6) is identified as a potential candidate biomarker for the diagnosis of sport-related concussion (SRC). While not directly related to monitoring typical training load, adaptation, or performance, its utility as an injury diagnostic tool is highly relevant for athletes. Objective assessment of SRC can significantly inform injury management, recovery protocols, and safe return-to-play decisions, all of which directly impact an athlete's ability to resume training and optimize performance.",8,inflammatory_changes,1
C-X-C Motif Chemokine Ligand 9,40493000,"No athlete or exercise context reported. The findings are based on patients undergoing allogeneic hematopoietic cell transplantation (HCT) and transplant and cellular therapies (TCT), focusing on immune monitoring protocols post-transplantation to evaluate immune reconstitution and identify biomarkers for complications such as graft-versus-host disease (GVHD), infections, and viral reactivation.","In patients post-transplant, blood/serum protein levels of Chemokine (C-X-C motif) ligand 9 (CXCL9) correlate with chronic Graft-versus-Host Disease (cGVHD) activity. It is identified both individually and as a component of a distinct four-biomarker panel (CXCL9, ST2, MMP-3, OPN) for cGVHD.","The provided findings lack an athletic context and therefore do not support direct interpretation regarding training stress, adaptation, performance, or recovery in athletes. The study focuses exclusively on clinical immune monitoring in patients undergoing hematopoietic cell transplantation to manage disease complications.",1,inflammatory_changes,1
C-X-C Motif Chemokine Ligand 9 (CXCL9),34734091,"No athlete or exercise context reported. This was an observational study evaluating adult dengue patients across different severity groups (mild, severe without comorbidities, severe with comorbidities) and healthy controls. Blood samples were collected during the acute febrile phase and convalescent phase to monitor disease progression.","CXCL9 levels were observed to be higher in all dengue patients compared to healthy subjects. A prominent increase was noted in the acute severe dengue with comorbidities group. Levels were significantly elevated during the acute febrile phase compared to healthy controls (P < 0.05) and showed positive correlations with IL-6, MIP-1β, IL-15, and RANTES.","The provided findings describe CXCL9's role in the context of dengue infection and its potential as a biomarker for disease severity and cytokine release syndrome in patients. There is no information in this study that relates CXCL9 levels to training stress, adaptation, athletic performance, recovery, or any other aspect of sports science. Therefore, these findings do not support an athletic interpretation.",1,inflammatory_changes,1
C-terminal Telopeptide of Type I Collagen,"40880525, 34652292, 33362710, 30213095","One study investigated the acute response to a single bout of high-impact plyometric exercise in obese versus normal-weight adolescent females. Other studies examined bone turnover in the context of natural long bone fracture repair in healthy individuals and patients, osteoarthritis biomarker investigation, and potassium citrate supplementation in postmenopausal women with osteopenia. No other direct athletic population, intervention, or training state contexts were reported.","CTX levels: 
- Increased during acute long bone fracture healing, peaking around 25-35 days post-fracture and remaining elevated at 6 weeks post-injury, correlating with CXM levels.
- Reduced by more than 90% by Cathepsin K inhibition (in the context of osteoporosis drug development).
- Decreased significantly (by 19% at 5 minutes and 24% at 1 hour) post-plyometric exercise in both obese and normal-weight adolescent females, returning to baseline by 24 hours post-exercise. No difference was observed at rest between groups.
- Decreased significantly in postmenopausal women with osteopenia following 6-month potassium citrate supplementation (combined with calcium and vitamin D) and also in the placebo group, with potassium citrate enhancing the reduction, particularly in subgroups with low-grade acidosis.","The acute decrease in CTX following a single bout of plyometric exercise suggests a transient reduction in bone resorption in response to high-impact loading. This indicates an overall anabolic bone response, which is crucial for bone adaptation and strengthening in athletes undergoing training. Monitoring CTX could potentially offer insights into the immediate bone remodeling response to specific training loads, particularly those involving impact, helping to understand training stress and adaptation of the skeletal system. 

While fracture healing is relevant for injured athletes, the study on fracture repair did not provide context on athletic populations or specific recovery protocols applicable to sports performance. The studies on osteoarthritis and osteopenia are not directly relevant to training, recovery, or performance in healthy athletes.",6,"metabolic, endocrine_response",4
C1 Root Schwannoma Volume,38372904,"This study focused on patients with Neurofibromatosis type 2 (NF2) who had progressive vestibular schwannomas. The intervention was a pharmacological treatment using Everolimus (an mTORC1 inhibitor) over 52 weeks, with some patients also receiving Bevacizumab. The study population consisted of adults (18+) and adolescents (16-17) with a specific medical condition, and there is no athletic or exercise context reported for the participants or the intervention.","C1 root schwannoma volume (classified as a non-target tumor) was observed to be stable in 11 out of 15 evaluated non-target tumors, including the C1 root schwannoma, over the 52-week study period during Everolimus treatment.","This biomarker, C1 root schwannoma volume, serves as an indicator of tumor proliferation and growth in patients with Neurofibromatosis type 2 (NF2) receiving specific medical therapy. It has no direct physiological or practical relevance to monitoring training stress, evaluating adaptation to exercise, assessing performance, or understanding recovery processes in athletes. The findings do not support any athletic interpretation within the domains of exercise physiology or sports medicine.",1,,1
C9orf72 Gene Mutations,40437880,"No athlete or exercise context reported. The findings are derived from discussions at the Tau2024 Global Conference, focusing on interdisciplinary advancements in tau-associated brain disorders, including genetic studies in Progressive Supranuclear Palsy (PSP) cohorts.","C9orf72 mutations are identified as a genetic variant. They are explored as an associated genetic marker in Progressive Supranuclear Palsy (PSP) cohorts and implicated as a genetic factor in neurodegenerative diseases like ALS and FTD, indicating a genetic predisposition to these conditions.","The findings explicitly discuss C9orf72 mutations solely in the context of neurodegenerative diseases such as ALS, FTD, and PSP, without any reference to athletic populations, exercise interventions, training states, or performance outcomes. Therefore, these findings do not support athletic interpretation regarding training stress, adaptation, performance, or recovery within the specified domains of sports medicine and exercise physiology.",1,,1
CACNA1A (Voltage-dependent P/Q-type calcium channel subunit alpha-1A),25840413,"No athlete or exercise context reported. This study focused on the proteomic characterization and comparative analysis of human induced pluripotent stem cells (hiPSCs) and human embryonic stem cells (hESCs), identifying novel pluripotency markers and analyzing changes during spontaneous differentiation.","CACNA1A protein levels were found to be higher (up-regulated) in human induced pluripotent stem cells (hiPSCs) and human embryonic stem cells (hESCs) compared to their primary somatic cell origins. Its expression was dramatically down-regulated upon differentiation of these stem cells into embryoid bodies. CACNA1A was identified as a novel pluripotency marker and is described as brain-specific, primarily found in the cerebellum, cerebral cortex, thalamus, and hypothalamus.","The findings are derived from a study on stem cell biology, specifically relating to pluripotency marker identification and differentiation processes in hiPSCs and hESCs. This context does not provide information applicable to understanding training stress, adaptation, performance, or recovery in athletes. Therefore, the findings do not support athletic interpretation within the specified domains of sports medicine and exercise physiology.",1,"endocrine_response, cell_damage",1
CBL Proto-Oncogene,39948173,"No athlete or exercise context reported. The study involved patients with sepsis and septic shock, and healthy controls, with blood samples collected to identify diagnostic biomarkers related to inflammatory disease states.","CBL, a proto-oncogene, was identified as an upregulated hub gene in the protein-protein interaction (PPI) network of predicted target genes of serum exosomal miRNAs. This upregulation was observed when comparing septic patients to healthy controls, and it is associated with immune regulation-associated signaling pathways.","The provided findings describe CBL's role as a predicted target gene of serum exosomal miRNAs, upregulated in septic patients and involved in immune regulation. There is no athletic context (e.g., training, competition, recovery, specific athlete populations) in the study. Therefore, these findings do not directly support an athletic interpretation regarding training stress, adaptation, performance, or recovery.",1,inflammatory_changes,1
CCDC32/CBX3 Gene Fusion,39823827,"No athlete or exercise context reported. The study investigated the CCDC32/CBX3 gene fusion in adult Acute Myeloid Leukemia (AML) patients (newly diagnosed, refractory, and relapsed) undergoing chemotherapy and/or allogeneic hematopoietic stem cell transplantation. Functional validation was performed in MV4-11 AML cell lines. References also noted its presence in MYCN non-amplified neuroblastoma and papillary thyroid carcinoma.","The CCDC32/CBX3 gene fusion was detected in 25% of the studied AML patients and persisted or remained unchanged in a patient monitored throughout diagnosis and relapse. Ectopic overexpression of this fusion in MV4-11 AML cells led to higher gene transcript levels and experimentally promoted cell cycle progression. Conversely, in vitro knockdown of the fusion reduced cell proliferation and motility. This gene fusion is associated with specific chromosomal breakpoints and contributes to AML pathogenesis and treatment resistance.","The findings do not support an athletic interpretation within the specified domains of exercise physiology, training load, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage/repair, or cardiovascular/endocrine adaptation. This biomarker is exclusively identified and studied in the context of Acute Myeloid Leukemia and other cancers, focusing on cell cycle progression, pathogenesis, and treatment resistance in disease states.",1,,1
